id,character_id,skill_id
1,201000,120000
2,201001,120000
3,201001,120001
4,201002,120000
5,201002,120003
6,201003,120000
7,201003,120003
8,201003,300000
9,201003,210000
10,201004,120000
11,201004,300000
12,201004,210002
13,201005,120000
14,201005,120005
15,201005,220002
16,201005,250002
17,201006,120000
18,201006,120001
19,201006,120003
20,201007,120000
21,201007,120003
22,201007,210000
23,201008,120000
24,201008,120001
25,201008,210002
26,202000,130000
27,202001,100000
28,202001,130001
29,202002,100000
30,202002,130003
31,202003,130000
32,202003,130001
33,202003,130003
34,202004,130000
35,202004,220002
36,202004,250002
37,202005,130000
38,202005,300000
39,202005,230000
40,202005,240000
41,202005,210000
42,202006,130000
43,202006,130001
44,202006,130003
45,202006,130005
46,202006,230000
47,202006,210000
48,202007,130000
49,202007,130001
50,202007,130005
51,202007,210000
52,202007,230000
53,202007,250000
54,203000,110000
55,203000,220000
56,203001,100000
57,203001,110001
58,203002,110000
59,203002,110001
60,203002,300000
61,203002,210002
62,203003,110000
63,203003,220000
64,203003,110003
65,203004,100001
66,203004,110001
67,203004,220000
68,203005,110000
69,203005,110001
70,203005,110003
71,203005,220000
72,203005,210000
73,203006,100001
74,203006,110001
75,203006,110003
76,203006,110005
77,203006,220002
78,203006,210002
79,203007,110001
80,203007,110005
81,203007,210000
82,203007,240002
83,204000,100001
84,204010,100001
85,204020,100001
86,204001,130000
87,204001,130001
88,204011,130000
89,204011,130001
90,204021,130000
91,204021,130000
92,204021,130001
93,204021,130005
94,204002,110000
95,204002,110001
96,204012,110000
97,204012,110001
98,204022,110000
99,204022,110000
100,204022,110001
101,204022,110005
102,204003,140000
103,204003,140001
104,204013,140000
105,204013,140001
106,204023,140000
107,204023,140000
108,204023,140001
109,204023,140005
110,204004,120000
111,204004,120001
112,204014,120000
113,204014,120001
114,204024,120000
115,204024,120000
116,204024,120001
117,204024,120005
118,205000,140000
119,205000,140003
120,205001,140000
121,205001,140001
122,205001,250002
123,205003,140000
124,205003,140001
125,205003,140003
126,205003,220002
127,205004,140000
128,205004,140002
129,205004,210000
130,205005,140000
131,205005,140003
132,205005,140005
133,205005,210000
134,205007,140000
135,205007,140001
136,205007,140005
137,205007,250000
