id,cost_ap,turn_limit,hp_option,atk_option,def_option,cri_option,hit_option,spd_option,background,bgm,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max,item6,item6_ratio,item6_min,item6_max,item7,item7_ratio,item7_min,item7_max,item8,item8_ratio,item8_min,item8_max,item9,item9_ratio,item9_min,item9_max,item10,item10_ratio,item10_min,item10_max,min_drop,max_drop
10010001,5,150,60,60,60,0,60,60,EventDungeon_01_01,bgm_event_22summer_01,800101,0.2,1,1,800102,0.1,1,1,800104,0.1,1,1,400000,0.4,20,20,500000,0.1,1,1,800103,0.1,1,1,,,,,,,,,,,,,,,,,8,16
10010002,5,150,60,60,60,0,60,60,EventDungeon_01_01,bgm_event_22summer_01,800101,0.2,1,1,800102,0.1,1,1,800104,0.1,1,1,400000,0.4,20,20,500000,0.1,1,1,800103,0.1,1,1,,,,,,,,,,,,,,,,,8,16
10010003,5,150,60,60,60,0,60,60,EventDungeon_01_01,bgm_event_22summer_01,800101,0.2,1,1,800102,0.1,1,1,800104,0.1,1,1,400000,0.4,20,20,500000,0.1,1,1,800103,0.1,1,1,,,,,,,,,,,,,,,,,8,16
10010004,5,150,60,60,60,0,60,60,EventDungeon_01_01,bgm_event_22summer_01,800101,0.2,1,2,800102,0.1,1,1,800104,0.1,1,2,400000,0.4,20,20,500000,0.1,1,1,800103,0.1,1,2,,,,,,,,,,,,,,,,,8,16
10010005,5,150,60,60,60,0,60,60,EventDungeon_01_01,bgm_event_22summer_01,800101,0.2,1,2,800102,0.1,1,1,800104,0.1,1,2,400000,0.4,20,20,500000,0.1,1,1,800103,0.1,1,2,,,,,,,,,,,,,,,,,8,16
10010006,5,150,194,194,194,0,194,194,EventDungeon_01_01,bgm_event_22summer_01,800101,0.2,2,2,800102,0.1,1,1,800104,0.1,1,2,400000,0.4,22,22,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,8,18
10010007,5,150,194,194,194,0,194,194,EventDungeon_01_01,bgm_event_22summer_01,800101,0.2,2,2,800102,0.1,1,1,800104,0.1,1,2,400000,0.4,22,22,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,8,18
10010008,5,150,194,194,194,0,194,194,EventDungeon_01_02,bgm_event_22summer_02,800101,0.2,2,2,800102,0.1,1,1,800105,0.1,1,1,400000,0.4,22,22,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,8,18
10010009,5,150,194,194,194,0,194,194,EventDungeon_01_02,bgm_event_22summer_02,800101,0.2,2,3,800102,0.1,1,1,800105,0.1,1,1,400000,0.4,22,22,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,8,18
10010010,5,150,194,194,194,0,194,194,EventDungeon_01_02,bgm_event_22summer_02,800101,0.2,2,3,800102,0.1,1,1,800105,0.1,1,1,400000,0.4,22,22,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,8,18
10010011,5,150,338,173,491,0,173,264,EventDungeon_01_02,bgm_event_22summer_02,800101,0.2,2,3,800102,0.1,1,2,800105,0.1,1,2,400000,0.4,20,20,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,10,16
10010012,5,150,338,173,491,0,173,264,EventDungeon_01_02,bgm_event_22summer_02,800101,0.2,2,3,800102,0.1,1,2,800105,0.1,1,2,400000,0.4,20,20,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,10,16
10010013,5,150,338,173,491,0,173,264,EventDungeon_01_02,bgm_event_22summer_02,800101,0.2,2,3,800102,0.1,1,2,800105,0.1,1,2,400000,0.4,20,20,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,10,16
10010014,5,150,338,173,491,0,173,264,EventDungeon_01_02,bgm_event_22summer_02,800101,0.2,2,3,800102,0.1,1,2,800105,0.1,1,2,400000,0.4,20,20,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,10,16
10010015,5,150,338,173,491,0,173,264,EventDungeon_01_03,bgm_event_22summer_03,800101,0.2,2,3,800102,0.1,1,2,800106,0.1,1,1,400000,0.4,20,20,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,10,16
10010016,5,150,667,425,364,0,437,364,EventDungeon_01_03,bgm_event_22summer_03,800101,0.2,2,4,800102,0.1,1,2,800106,0.1,1,1,400000,0.4,24,24,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,12,20
10010017,5,150,667,425,364,0,437,364,EventDungeon_01_03,bgm_event_22summer_03,800101,0.2,2,4,800102,0.1,1,2,800106,0.1,1,1,400000,0.4,24,24,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,12,20
10010018,5,150,667,425,364,0,437,364,EventDungeon_01_03,bgm_event_22summer_03,800101,0.2,2,4,800102,0.1,1,2,800106,0.1,1,2,400000,0.4,24,24,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,12,20
10010019,5,150,667,425,364,0,437,364,EventDungeon_01_03,bgm_event_22summer_03,800101,0.2,2,4,800102,0.1,1,2,800106,0.1,1,2,400000,0.4,24,24,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,12,20
10010020,5,150,667,425,364,0,437,364,EventDungeon_01_03,bgm_event_22summer_03,800101,0.2,2,4,800102,0.1,1,2,800106,0.1,1,2,400000,0.4,24,24,500000,0.1,1,2,800103,0.1,1,2,,,,,,,,,,,,,,,,,12,20
