event_dungeon_stage_id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,has_boss
10010001,1,201001,20,1,,,,,,,,,,0
10010001,2,201001,20,2,,,,,,,,,,0
10010001,3,201001,20,3,,,,,,,,,,0
10010002,1,201002,20,1,,,,,,,,,,0
10010002,2,201002,20,2,,,,,,,,,,0
10010002,3,201002,20,3,,,,,,,,,,0
10010003,1,201001,20,2,,,,,,,,,,0
10010003,2,201002,20,2,,,,,,,,,,0
10010003,3,201004,20,2,,,,,,,,,,0
10010004,1,201004,20,1,,,,,,,,,,0
10010004,2,201004,20,2,,,,,,,,,,0
10010004,3,201004,20,3,,,,,,,,,,0
10010005,1,201004,20,2,,,,,,,,,,0
10010005,2,201004,20,2,,,,,,,,,,0
10010005,3,201008,20,1,,,,,,,,,,1
10010006,1,201001,80,1,,,,,,,,,,0
10010006,2,201001,80,2,,,,,,,,,,0
10010006,3,201001,80,3,,,,,,,,,,0
10010007,1,201002,80,1,,,,,,,,,,0
10010007,2,201002,80,2,,,,,,,,,,0
10010007,3,201002,80,3,,,,,,,,,,0
10010008,1,201001,80,2,,,,,,,,,,0
10010008,2,201002,80,2,,,,,,,,,,0
10010008,3,201004,80,2,,,,,,,,,,0
10010009,1,201004,80,1,,,,,,,,,,0
10010009,2,201004,80,2,,,,,,,,,,0
10010009,3,201004,80,3,,,,,,,,,,0
10010010,1,201004,80,2,,,,,,,,,,0
10010010,2,201004,80,2,,,,,,,,,,0
10010010,3,201007,80,3,,,,,,,,,,1
10010011,1,201001,150,1,,,,,,,,,,0
10010011,2,201001,150,2,,,,,,,,,,0
10010011,3,201001,150,3,,,,,,,,,,0
10010012,1,201002,150,1,,,,,,,,,,0
10010012,2,201002,150,2,,,,,,,,,,0
10010012,3,201002,150,3,,,,,,,,,,0
10010013,1,201001,150,2,,,,,,,,,,0
10010013,2,201002,150,2,,,,,,,,,,0
10010013,3,201004,150,2,,,,,,,,,,0
10010014,1,201004,150,1,,,,,,,,,,0
10010014,2,201004,150,2,,,,,,,,,,0
10010014,3,201004,150,3,,,,,,,,,,0
10010015,1,201004,150,2,,,,,,,,,,0
10010015,2,201004,150,2,,,,,,,,,,0
10010015,3,201006,150,3,,,,,,,,,,1
10010016,1,201001,200,1,,,,,,,,,,0
10010016,2,201001,200,2,,,,,,,,,,0
10010016,3,201001,200,3,,,,,,,,,,0
10010017,1,201002,200,1,,,,,,,,,,0
10010017,2,201002,200,2,,,,,,,,,,0
10010017,3,201002,200,3,,,,,,,,,,0
10010018,1,201001,200,2,,,,,,,,,,0
10010018,2,201002,200,2,,,,,,,,,,0
10010018,3,201004,200,2,,,,,,,,,,0
10010019,1,201004,200,1,,,,,,,,,,0
10010019,2,201004,200,2,,,,,,,,,,0
10010019,3,201004,200,3,,,,,,,,,,0
10010020,1,201004,200,2,,,,,,,,,,0
10010020,2,201004,200,2,,,,,,,,,,0
10010020,3,201005,200,1,,,,,,,,,,1
