Key,English,Korean
HELP_POPUP_100000_PAGE_00_TITLE,Welcome to Nine Chronicles world!,나인 크로니클에 오신 것을 환영합니다!
HELP_POPUP_100000_PAGE_00_TEXT_00,Nine Chronicles aims to recreate the nordic fantasy RPG world based on 'Blockchain Network'. ,"나인 크로니클은 북유럽 판타지 RPG 세계를 ""블록체인 네트워크""로 재현하는 것을 지향합니다."
HELP_POPUP_100000_PAGE_00_TEXT_01,<All game data will be stored in Blocks>,- 게임 데이터들은 블록이란 단위에 저장됩니다 -
HELP_POPUP_100000_PAGE_00_TEXT_02,Nine Chronicles store game data in long chain-connected blocks[comma] called blockchains.,나인 크로니클은 게임 데이터를 사슬처럼 길게 연결된 블록들 안에 저장하는데 이를 <블록체인>이라고 합니다.
HELP_POPUP_100000_PAGE_00_TEXT_03,This means that Nine Chronicles is a completely decentralized game[comma] and players can develop this world on their own.,블록체인을 사용한다는 것은 나인 크로니클이 완벽하게 탈중앙화된 게임이며 플레이어들에 의해 운영된다는 것을 의미합니다.
HELP_POPUP_100000_PAGE_00_TEXT_04,First[comma] let's make your avatar.,소개는 이정도로. 우선 아바타를 만듭시다.
HELP_POPUP_100000_PAGE_01_TITLE,Create your avatar!,캐릭터를 생성하세요!
HELP_POPUP_100000_PAGE_01_TEXT_00,We’re plan to design a total of 4 classes[comma] but you can only create warrior. The warrior is a close-up unit[comma] strong and powerful damage with the ability of a combo system.,저희는 총 4개 클래스를 디자인하려고 합니다만 지금은 전사 캐릭터만 생성 가능합니다. 전사는 근접 유닛으로[comma] 튼튼하며 콤보 시스템이란 능력으로 강력한 데미지를 가합니다.
HELP_POPUP_100000_PAGE_01_TEXT_01,I'll let you know the combo system later. Let's decorate the warrior character to your taste. Use your imagination!,콤보 시스템에 대해서는 추후 설명하겠습니다. 전사 클래스의 캐릭터를 당신의 취향대로 커스텀합시다. 상상력을 발휘하세요!
HELP_POPUP_100001_PAGE_00_TITLE,Main Lobby,여기는 로비입니다
HELP_POPUP_100001_PAGE_00_TEXT_00,This is the first moment of the Nine Chronicles journey. Some actions are possible here.,이곳이 나인 크로니클 여정의 첫 번째 순간입니다. 이곳에서 몇 가지 행동들이 가능합니다.
HELP_POPUP_100001_PAGE_00_TEXT_01,You need action power to enter the battle. Action power is just like a stamina and is necessary for various activity in the game. Click on the warp gate at the bottom right.,전투 액션은 행동력을 소모합니다. 행동력은 스태미나 같은 개념이며 게임의 각종 기능을 해금하기 위해 필요합니다. 우측 하단의 워프 게이트를 클릭하세요.
HELP_POPUP_100002_PAGE_00_TITLE,WORLD MAP,월드맵
HELP_POPUP_100002_PAGE_00_TEXT_00,There are a total of nine worlds here. Goddess Freya promised to reincarnate you into Midgard when you collect the gemstones from nine worlds. If you clear one world[comma] you can open the next one.,이곳은 총 9개의 세계로 이루어져 있습니다. 여신 프레이야는 9개의 세계에서 당신이 원석을 모아오면 미드가르드로 환생을 시켜줄 것을 약속했습니다. 한 세계를 클리어하면 다음 세계를 열 수 있습니다.
HELP_POPUP_100003_PAGE_00_TITLE,Yggdrasil,이그드라실
HELP_POPUP_100003_PAGE_00_TEXT_00,This is around Yggdrasil[comma] the great world tree. It is located in the center of the world.,여기는 거대한 세계수 이그드라실 주변입니다. 이 세계의 중앙에 위치합니다.
HELP_POPUP_100003_PAGE_00_TEXT_01,At first glance[comma] the monsters here are cute and lovely. But their teeth and claws will have no mercy. You have to adjust to this place first.,얼핏 보기에 이곳의 몬스터들은 귀엽고 사랑스럽습니다. 하지만 그들의 이빨과 발톱은 자비가 없을 것입니다. 당신은 우선 이곳에 적응해야 합니다.
HELP_POPUP_100004_PAGE_00_TITLE,Prepare for Battle,전투를 준비하세요!
HELP_POPUP_100004_PAGE_00_TEXT_00,<color=red>HP[newline]ATK[newline]DEF[newline]CRI[newline]HIT[newline]SPD</color>,<color=red>HP[newline]ATK[newline]DEF[newline]CRI[newline]HIT[newline]SPD</color>
HELP_POPUP_100004_PAGE_00_TEXT_01,means physical stamina and can be boosted with <color=red>Armor</color>[newline]means attack power and is determined by <color=red>Weapon</color>[newline]means defense power and can be boosted by pair of <color=red>Rings</color>[newline]means critical rate and is boosted by <color=red>Consumables</color>[newline]means attack accuracy and is determined by <color=red>Amulet</color>[newline]means attack speed and can be boosted with <color=red>Belt</color>,체력을 올리기 위해 필요한 장비는 <color=red>갑옷</color>[newline]공격력을 올리기 위해 필요한 장비는 <color=red>무기</color>[newline]방어력을 올리기 위해 필요한 장비는 <color=red>반지</color>[newline]치명타율을 올리기 위해 필요한 아이템은 <color=red>음식</color>[newline]명중률을 올리기 위해 필요한 장비는 <color=red>목걸이</color>[newline]속도를 올리기 위해 필요한 장비는 <color=red>벨트</color>
HELP_POPUP_100005_PAGE_00_TITLE,Auto battle & Combo system,자동전투 & 콤보 시스템
HELP_POPUP_100005_PAGE_00_TEXT_00,The battle will proceed automatically. The warrior is a close-up unit[comma] strong and powerful damage with the ability of a combo system.,전투는 자동으로 진행됩니다. 전사는 근접 유닛으로[comma] 튼튼하며 콤보 시스템이란 능력으로 강력한 데미지를 가합니다.
HELP_POPUP_100005_PAGE_00_TEXT_01,As the combos are added[comma] the bonus damage increases[comma] and the probability of critical attacks increases. Level 1 to 10 warriors attack with 100 percent damage at 1HIT[comma] and when a combo is added[comma] 200 percent damage with a +25 percent critical batting bonus.,첫 공격은 보너스가 없으나 콤보가 점점 연결되면서 데미지와 치명타율 보너스가 증가합니다. 레벨 1~10 전사는 첫 공격으로 100%의 데미지를 주고 둘째 공격으로 200%의 데미지와 +25%의 치명타율 보너스로 공격합니다.
HELP_POPUP_100005_PAGE_01_TITLE,Interfaces,인터페이스
HELP_POPUP_100005_PAGE_01_TEXT_00,1. Character’s EXP and HP[newline]2. Stage Information[newline]3. Quest[newline]4. Combo[newline]5. Battlefield[newline]6. Bottom Menu[newline]7. Battle Progress bar[newline]8. Repeat Current Stage (Toggle),1. 캐릭터의 경험치와 HP[newline]2. 스테이지 정보[newline]3. 퀘스트[newline]4. 현재 콤보수[newline]5. 전장[newline]6. 하단 메뉴[newline+D19]7. 전투 진행도[newline]8. 현재 스테이지 반복 (토글)
HELP_POPUP_100006_PAGE_00_TITLE,Stage Clear,스테이지 클리어
