Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
TUTORIAL_01_001,Let's start the journey! Click <b>here</b>.,여정을 시작하자! <b>여기</b>를 클릭해줘.,"Pronto para iniciar esta aventura?!? Por favor, clique <b>aqui</b>.",さあ、旅を始めましょう！ <b>こちら</b>をクリックしてください。,¿Listo para comenzar esta aventura!?! Haz click <b>aqui</b>.,พร้อมเริ่มผจญภัยรึยัง กรุณาคลิก<b>ที่นี่</b>เลย,Mari kita mulai penjelajahan! Klik <b> di sini </b>.,,让我们开始旅程！在此处单击<b>。,準備好開始這段旅程了嗎？！請點擊<b>此處</b>。,Handa ka na ba para simulan ang paglalakbay na ito?! Pakiusap mag-click <b>dito</b>.,Bắt đầu phiêu lưu nào! Nhấp vào <b> Đây </b>.
TUTORIAL_02_001,You've successfully completed the first battle!,첫 전투를 무사히 마쳤구나!,"Muito bem, você completou sua primeira batalha.",初めての戦いをクリアしました!,"Bien hecho, has terminado tu primera batalla.",การต่อสู้ครั้งแรกของคุณเสร็จสิ้นแล้ว!,Anda telah berhasil menyelesaikan petarungan pertama!,,您已经成功完成了第一场战斗！,幹得好，你已經完成了第一場戰鬥。,"Mahusay, natapos mo na ang iyong unang laban.",Bạn đã hoàn thành trận chiến đầu tiên!
TUTORIAL_02_002,It's time to create a new weapon together!,함께 새로운 무기를 만들 시간이야.,Nós deveriamos construir sua primeira arma juntos.,一緒に新しい武器を作くってみましょう！,Deberíamos hacer tu primera arma juntos.,เรามาสร้างอาวุธชิ้นแรกของคุณด้วยกันเถอะ,Saatnya membuat senjata baru bersama!,,是时候一起创建新武器了！,我們應該一起製作你的第一把武器。,Dapat nating gawin ang iyong unang sandata nang magkasama.,Đã đến lúc cùng nhau tạo ra một vũ khí mới!
TUTORIAL_02_003,Shall we go to the <b>workshop</b>?,<b>워크샵</b>으로 들어가볼까?,Vamos ir ao workshop <b> </b>?,<b>工房</b>に入ってみましょう！,¿Vamos al taller <b> </b>?,เราจะไปที่ <b> เวิร์กช็อป </b> หรือไม่?,Haruskah kita pergi ke <b> workshop </b>?,,我们可以去<b>车间</b>吗？,我們可以去<b>車間</b>嗎？,Pupunta ba tayo sa <b> workshop </b>?,Đến <b> Lò rèn </b> nào!
TUTORIAL_02_004,Click <b>here</b>!,<b>여기</b>를 클릭해봐!,Clique em <b> aqui </b>!,<b>こちら</b>をクリック！,Haga clic en <b> aquí </b>!,คลิก <b> ที่นี่ </b>!,Klik <b> di sini </b>!,,单击<b>在此处</b>！,單擊<b>在此處</b>！,I -click ang <b> dito </b>!,Nhấp vào <b> đây </b>!
TUTORIAL_02_005,You can choose the types of items to craft here.,여기에서 제작할 아이템 종류를 고를 수 있어.,Você pode escolher qual tipo de equipamento você gostaria de criar aqui.,ここで制作するアイテムを選ぶことができます。,Puedes escoger cuál tipo de equipamieno quieres fabricar aquí,คุณสามารถเลือกประเภทอุปกรณ์ที่จะสร้างได้ที่นี่,Anda dapat memilih jenis barang yang akan dibuat di sini.,,您可以在此处选择要制作的物品类型。,您可以在此處選擇要創建的裝備類型。,Maaari kang pumili kung anong uri ng kagamitan ang nais mong likhain dito.,Bạn có thể chọn các loại vật phẩm để chế tạo ở đây.
TUTORIAL_02_006,Let's keep going. We're going to make a weapon.,이대로 가자. 우리는 무기를 만들 거니까.,Tudo bem! Vamos começar a fazer armas!,それでは、武器を作りましょう。,¡Muy bien! Empecemos a fabricar armas!,ไปกันเถอะ เราจะไปสร้างอาวุธกัน,Ayo lanjutkan. Kita akan membuat senjata.,,我们继续吧。我们要制造武器。,好的！讓我們開始製作武器吧！,Sige! Magsimula na tayong gumawa ng mga sandata!,Tiếp tục nào. Chúng ta sẽ tạo ra một vũ khí.
TUTORIAL_02_007,"First, let's unlock a <b>new equipment recipe</b>...",우선 <b>새 장비 레시피</b>를 잠금해제하자..,"Ótimo, agora vamos desbloquear sua <b> primeira receita </b>!",まずは<b>新しいレシピ</b>を解除しましょう。,Genial! Ahora desbloqueemos tu <b>primera receta</b>!,ก่อนอื่นมาปลดล็อก<b>สูตร</b>อาหารใหม่กัน,"Pertama, mari kita buka kunci <b> Resep Peralatan Baru </b> ...",,首先，让我们解锁新设备食谱</b> ...,太好了，現在讓我們解鎖您的<b>第一個食譜</b>！,"Ayos, ngayon buksan natin ang iyong <b>unang resipi</b>!","Đầu tiên, hãy mở khóa một <b> Công thức trang bị mới <b>"
TUTORIAL_02_008,"Wow, you're doing great! You got a new recipe!",와우 너무 잘하는데? 새 레시피를 얻었어!,UAU! Você é tão bom! Você desbloqueou outra nova receita.,すばらしい！新しいレシピを手にれましたね!,Wow! Eres increíble! Haz desbloqueado una nueva receta.,ว้าวคุณเก่งมาก คุณปลดล็อกสูตรใหม่แล้ว!,"Wow, Anda hebat! Anda punya resep baru!",,哇，你做得很好！您有一个新食谱！,哇！你太棒了，你已經解鎖了另一個新食譜。,"WOW! Ang galing mo, na buksan mo pa ang isa pang bagong resipi.","Wow, bạn đang làm rất tốt! Bạn đã có một công thức mới!"
TUTORIAL_02_009,"You'll be able to obtain various equipment recipes in the future. For now, let's make the <b>first sword</b>.",앞으로 다양한 장비 레시피를 얻을 수 있을 거야. 지금은 <b>첫 검</b>을 만들어 보자,"Você poderá obter várias receitas de equipamentos no futuro. Por enquanto, vamos fazer a <b> Primeira espada </b>.",これから様々な装備レシピを入手できます。とりあえず、<b>初の剣</b>を作りましょう。,"Podrá obtener varias recetas de equipos en el futuro. Por ahora, hagamos la primera espada <b> </b>.",คุณจะได้รับสูตรอุปกรณ์ต่าง ๆ ในอนาคต สำหรับตอนนี้ลองทำดาบแรก <b> </b>,"Anda akan dapat memperoleh berbagai resep peralatan di masa depan. Untuk saat ini, mari kita buat <b> Pedang Pertama </b>.",,将来您将能够获得各种设备食谱。现在，让我们制作第一把剑</b>。,將來您將能夠獲得各種設備食譜。現在，讓我們製作第一把劍</b>。,"Makakakuha ka ng iba't ibang mga recipe ng kagamitan sa hinaharap. Sa ngayon, gawin natin ang <b> Unang Sword </b>.","Bạn sẽ có thể có được các công thức trang bị khác nhau trong tương lai. Bây giờ, hãy tạo ra <b> Thanh kiếm đầu tiên </b>."
TUTORIAL_02_010,Click the <b>craft button</b>.,<b>제작 버튼</b>을 클릭해줘.,"Agora, basta clicar no botão <b> Combinar </b>.",<b>アイテム製作ボタン</b>をクリックしてください。,"Ahora, dale clik en el <b>botón de combinar</b>.",กรุณาคลิก<b>ปุ่มผสม</b>,Klik <b> Tombol Pembuatan </b>.,,单击<b>工艺按钮</b>。,現在，只需單擊<b>組合按鈕</b>。,"Ngayon, i click lamang ang <b>Pagsamahin</b>.",Nhấp vào nút <b> Chế tạo </b>.
TUTORIAL_02_011,"Alright, crafting has begun.","자, 이제 제작이 시작됐어.","Olhe lá, seu item solicitado foi iniciado.",製作が始りましたよ。,"Aquí está, el objeo que solicitaste ha comenzado a fabricarse",เห็นมั้ย ไอเทมที่เลือกได้เริ่มสร้างแล้ว,"Baiklah, pembuatan telah dimulai.",,好吧，手工制作已经开始。,看到那裡，您請求的項目已經開始。,"Tingnan mo, sinimulan na ang iyong hiling na item.","Được rồi, chế tạo đã bắt đầu."
TUTORIAL_02_012,Would you like to check the <b>workshop slot icon</b>?,<b>워크샵 슬롯 아이콘</b>을 눌러볼래?,"Agora, você pode abrir o ícone <b> workshop </b> abaixo?",<b>工房スロットパネル</b>を開きましょう！,"Ahora, puedes abrir el ícono de <b>Taller</b> que está abajo?",เอาล่ะ คุณเปิด<b>ไอคอนเวิร์กชอป</b>ด้านล่างได้มั้ย,Apakah Anda ingin memeriksa <b> ikon slot workshop </b>?,,您想检查<b>车间插槽图标</b>吗？,現在，您可以打開下面的<b>創意工坊圖標</b>嗎？,"Ngayon, maaari mo bang buksan ang <b>Workshop</b> sa ibaba?",Bạn có muốn kiểm tra <b> Icon ô rèn </b> không?
