rune_id,_name,level,total_cp,stat_type_1,value_1,value_type_1,stat_type_2,value_2,value_type_2,stat_type_3,value_3,value_type3,skillId,cooldown,chance,skill_value,skill_stat_ratio,skill_value_type,stat_reference_type,buff_duration
30001,Adventurer's Rune,1,364,HP,520,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,2,504,HP,720,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,3,644,HP,920,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,4,756,HP,1080,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,5,770,HP,1100,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,6,784,HP,1120,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,7,798,HP,1140,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,8,812,HP,1160,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,9,826,HP,1180,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,10,840,HP,1200,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,11,854,HP,1220,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,12,868,HP,1240,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,13,882,HP,1260,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,14,896,HP,1280,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,15,910,HP,1300,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,16,924,HP,1320,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,17,938,HP,1340,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,18,952,HP,1360,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,19,966,HP,1380,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,20,980,HP,1400,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,21,994,HP,1420,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,22,1008,HP,1440,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,23,1022,HP,1460,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,24,1036,HP,1480,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,25,1050,HP,1500,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,26,1064,HP,1520,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
30001,Adventurer's Rune,27,1078,HP,1540,Add,NONE,0,Add,NONE,0,Add,,,,,,,,
