id,_name,item_sub_type,grade,elemental_type,set_id,stat_type,stat_value,attack_range,spine_resource_path
10100000,나뭇가지,Weapon,0,Normal,0,ATK,1,2,10100000
10110000,검,Weapon,1,Normal,1,ATK,6,2,10110000
10111000,검(불),Weapon,1,Fire,2,ATK,7,2,10111000
10112000,검(물),Weapon,1,Water,3,ATK,8,2,10112000
10113000,검(땅),Weapon,1,Land,4,ATK,15,2,10113000
10114000,검(바람),Weapon,1,Wind,5,ATK,40,2,10114000
10120000,검투사 검,Weapon,2,Normal,6,ATK,9,2,10120000
10121000,검투사 검(불),Weapon,2,Fire,7,ATK,9,2,10121000
10122000,검투사 검(물),Weapon,2,Water,8,ATK,12,2,10122000
10123000,검투사 검(땅),Weapon,2,Land,9,ATK,45,2,10123000
10124000,검투사 검(바람),Weapon,2,Wind,10,ATK,100,2,10124000
10130000,전쟁 검,Weapon,3,Normal,11,ATK,27,2,10130000
10131000,전쟁 검(불),Weapon,3,Fire,12,ATK,28,2,10131000
10132000,전쟁 검(물),Weapon,3,Water,13,ATK,35,2,10132000
10133000,전쟁 검(땅),Weapon,3,Land,14,ATK,111,2,10133000
10134000,전쟁 검(바람),Weapon,3,Wind,15,ATK,221,2,10134000
10130001,무거운 검,Weapon,3,Normal,11,ATK,63,2,10130001
10131001,무거운 검(불),Weapon,3,Fire,12,ATK,64,2,10131001
10132001,무거운 검(물),Weapon,3,Water,13,ATK,75,2,10132001
10133001,무거운 검(땅),Weapon,3,Land,14,ATK,194,2,10133001
10134001,무거운 검(바람),Weapon,3,Wind,15,ATK,363,2,10134001
10140000,그람,Weapon,4,Normal,11,ATK,123,2,10140000
10141000,그람(불),Weapon,4,Fire,12,ATK,126,2,10141000
10142000,그람(물),Weapon,4,Water,13,ATK,137,2,10142000
10143000,그람(땅),Weapon,4,Land,14,ATK,323,2,10143000
10144000,그람(바람),Weapon,4,Wind,15,ATK,642,2,10144000
10140001,고대의 검,Weapon,4,Normal,11,ATK,207,2,10140001
10141001,고대의 검(불),Weapon,4,Fire,12,ATK,210,2,10141001
10142001,고대의 검(물),Weapon,4,Water,13,ATK,226,2,10142001
10143001,고대의 검(땅),Weapon,4,Land,14,ATK,568,2,10143001
10144001,고대의 검(바람),Weapon,4,Wind,15,ATK,1024,2,10144001
10150000,다인슬레이프,Weapon,5,Normal,16,ATK,346,2,10150000
