id,cost_ap,turn_limit,hp_option,atk_option,def_option,cri_option,hit_option,spd_option,background,bgm,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max,item6,item6_ratio,item6_min,item6_max,item7,item7_ratio,item7_min,item7_max,item8,item8_ratio,item8_min,item8_max,item9,item9_ratio,item9_min,item9_max,item10,item10_ratio,item10_min,item10_max,min_drop,max_drop
1,5,150,0,0,0,0,0,0,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2,5,150,0,0,0,0,0,0,chapter_01_01,bgm_yggdrasil_01,306040,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,5,150,4,4,4,0,4,4,chapter_01_02,bgm_yggdrasil_02,303000,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,5,150,4,4,4,0,4,4,chapter_01_01,bgm_yggdrasil_01,303000,0.15,1,3,306040,0.85,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
5,5,150,4,4,4,0,4,4,chapter_01_01,bgm_yggdrasil_01,303000,0.15,1,3,306040,0.85,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
6,5,150,0,0,0,0,0,0,chapter_01_02,bgm_yggdrasil_02,303100,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
7,5,150,16,16,16,0,16,16,chapter_01_01,bgm_yggdrasil_01,303000,0.15,1,3,303100,0.15,1,3,306040,0.7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
8,5,150,21,21,21,0,21,21,chapter_01_02,bgm_yggdrasil_02,303000,0.15,1,3,303100,0.15,1,3,306040,0.7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
9,5,150,18,18,18,0,18,18,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303100,0.1,1,3,303200,0.1,1,3,306040,0.7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,2
10,5,150,23,23,23,0,23,23,chapter_01_03,bgm_yggdrasil_03,303000,0.1,1,3,303100,0.1,1,3,303200,0.1,1,3,306040,0.7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,2
11,5,150,35,35,35,0,35,35,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303100,0.1,1,3,303200,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,1,2
12,5,150,37,37,37,0,37,37,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303100,0.1,1,3,303200,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,1,2
13,5,150,34,34,34,0,34,34,chapter_01_02,bgm_yggdrasil_02,303000,0.1,1,3,303100,0.1,1,3,303200,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,1,2
14,5,150,45,45,45,0,45,45,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303100,0.1,1,3,303200,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,1,2
15,5,150,45,45,45,0,45,45,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303100,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
16,5,150,36,36,36,0,36,36,chapter_01_02,bgm_yggdrasil_02,303100,0.1,1,3,303200,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
17,5,150,46,46,46,0,46,46,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303200,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
18,5,150,46,46,46,0,46,46,chapter_01_02,bgm_yggdrasil_02,303000,0.1,1,3,303100,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
19,5,150,17,17,17,0,17,17,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303200,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
20,5,150,71,71,71,0,71,71,chapter_01_03,bgm_yggdrasil_03,303000,0.1,1,3,303100,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
21,5,150,79,79,79,0,79,79,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303300,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
22,5,150,62,62,62,0,62,62,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303100,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
23,5,150,62,62,62,0,62,62,chapter_01_02,bgm_yggdrasil_02,303000,0.1,1,3,303100,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
24,5,150,61,61,61,0,61,61,chapter_01_01,bgm_yggdrasil_01,303000,0.1,1,3,303200,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
25,5,150,80,80,80,0,80,80,chapter_01_01,bgm_yggdrasil_01,303001,0.1,1,3,303300,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
26,5,150,80,80,80,0,80,80,chapter_01_02,bgm_yggdrasil_02,303001,0.1,1,3,303100,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
27,5,150,61,61,61,0,61,61,chapter_01_01,bgm_yggdrasil_01,303001,0.1,1,3,303200,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
28,5,150,57,57,57,0,57,57,chapter_01_02,bgm_yggdrasil_02,303001,0.1,1,3,303200,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
29,5,150,57,57,57,0,57,57,chapter_01_01,bgm_yggdrasil_01,303001,0.1,1,3,303100,0.1,1,3,303200,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
30,5,150,47,47,47,0,47,47,chapter_01_03,bgm_yggdrasil_03,303100,0.1,1,3,303300,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
31,5,150,103,103,103,0,103,103,chapter_01_01,bgm_yggdrasil_01,303100,0.1,1,3,303200,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
32,5,150,92,92,92,0,92,92,chapter_01_01,bgm_yggdrasil_01,303100,0.1,1,3,303300,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
33,5,150,70,70,70,0,70,70,chapter_01_02,bgm_yggdrasil_02,303001,0.1,1,3,303100,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
34,5,150,109,109,109,0,109,109,chapter_01_01,bgm_yggdrasil_01,303101,0.1,1,3,303200,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
35,5,150,134,134,134,0,134,134,chapter_01_01,bgm_yggdrasil_01,303001,0.1,1,3,303101,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
36,5,150,121,121,121,0,121,121,chapter_01_02,bgm_yggdrasil_02,303101,0.1,1,3,303200,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
37,5,150,107,107,107,0,107,107,chapter_01_01,bgm_yggdrasil_01,303001,0.1,1,3,303101,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
38,5,150,107,107,107,0,107,107,chapter_01_02,bgm_yggdrasil_02,303001,0.1,1,3,303200,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306044,0.2,2,3,306000,0.15,2,3,306001,0.12,2,3,306002,0.06,2,3,,,,,,,,,2,4
39,5,150,108,108,108,0,108,108,chapter_01_01,bgm_yggdrasil_01,303101,0.1,1,3,303200,0.1,1,3,303400,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,2,4
40,5,150,109,109,109,0,109,109,chapter_01_03,bgm_yggdrasil_03,303101,0.1,1,3,303201,0.1,1,3,303300,0.1,1,3,306040,0.17,2,3,306041,0.2,2,3,306023,0.15,2,3,306024,0.12,2,3,306025,0.06,2,3,,,,,,,,,3,4
