stage_id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,has_boss
1,1,204010,1,3,,,,,,,,,,0
1,2,204000,1,3,,,,,,,,,,0
1,3,204000,1,3,,,,,,,,,,0
2,1,204010,1,3,,,,,,,,,,0
2,2,201000,1,2,201001,1,1,,,,,,,0
2,3,204010,1,3,201000,1,2,201001,1,1,,,,0
3,1,204010,1,4,,,,,,,,,,0
3,2,201000,1,1,201001,1,2,,,,,,,0
3,3,201000,1,2,201001,1,3,,,,,,,0
4,1,204010,1,4,201001,1,1,201002,1,2,,,,0
4,2,201001,1,2,201002,1,2,,,,,,,0
4,3,201001,1,2,201002,1,3,,,,,,,0
5,1,204000,1,3,201001,1,1,,,,,,,0
5,2,201001,1,2,201002,1,2,,,,,,,0
5,3,201001,1,1,201002,1,2,201003,1,1,,,,0
6,1,204000,2,3,201000,2,1,,,,,,,0
6,2,201000,2,2,201004,2,1,,,,,,,0
6,3,201000,2,3,201004,2,2,,,,,,,0
7,1,204000,3,4,,,,,,,,,,0
7,2,201000,3,3,,,,,,,,,,0
7,3,201000,3,5,,,,,,,,,,0
8,1,204000,3,4,,,,,,,,,,0
8,2,201000,3,2,201002,3,1,,,,,,,0
8,3,201000,3,2,201002,3,1,204000,3,3,,,,0
9,1,204000,4,3,201001,4,1,,,,,,,0
9,2,201001,4,2,201004,4,1,,,,,,,0
9,3,201001,4,2,201004,4,1,204000,4,3,,,,0
10,1,204000,5,2,201002,5,1,201004,5,1,,,,0
10,2,201002,5,2,201004,5,1,,,,,,,0
10,3,201002,5,2,201003,5,1,,,,,,,1
11,1,201000,6,2,201001,6,1,,,,,,,0
11,2,204020,6,3,,,,,,,,,,0
11,3,204020,6,3,201000,6,2,,,,,,,0
12,1,201000,6,1,201001,6,2,,,,,,,0
12,2,204020,6,3,,,,,,,,,,0
12,3,204020,6,4,,,,,,,,,,0
13,1,201001,7,1,201002,7,2,,,,,,,0
13,2,204000,7,2,204010,7,3,,,,,,,0
13,3,204000,7,3,204010,7,4,,,,,,,0
14,1,201000,8,2,201004,8,1,,,,,,,0
14,2,204000,8,3,204020,8,2,,,,,,,0
14,3,204000,8,4,204020,8,3,,,,,,,0
15,1,201000,9,3,,,,,,,,,,0
15,2,201001,9,1,201004,9,2,,,,,,,0
15,3,201001,9,1,201003,9,3,,,,,,,0
